"Model","wA","wN","wL","wI","alpha","beta","gamma","delta","epsilon","zeta","delta1","delta2","delta3","dev"
"MBiases","0.127381514744292","0.0762589533918926","0.0578418859069151","0.00519975343219142","0","0","0","0","0","0","0","0","0",1612.32648585865
"WSLS","0.0950530538724548","0.0412103437391875","0.0146797346249491","0.00313646338950521","99.0000028903963","99.0000154387378","19.0400755476685","0","0","0","0","0","0",732.669691013262
"FRA","0.0471518180354898","0.0370117329835171","0.00566263927017083","0.00142807791221415","99.0000054011603","99.0000000025332","32","1.92994067507751","99.0000000705935","0.976060566256608","0.462925847292167","0.526432717267561","0.180803564684456",572.664219790016
