"Model","wA","wN","wL","wI","alpha","beta","gamma","delta","epsilon","zeta","dev"
"MBiases","0.149907164066187","0.121316324594579","0.0721404602831849","0.00649886343815516","0","0","0","0","0","0",1930.88715785722
"WSLS","0.116823477519015","0.060592974201903","0.0154635631148616","0.00382204020389275","9.15220803147371","63.4631838335139","2.0376899993684","0","0","0",714.23422379572
"FRA","0.0800531099955961","0.059431928733903","0.00560138942811142","5.8374326622479e-09","9.40064424126212","95.1545735976309","2.02005157776323","0.102105941576724","50.0000227716728","0.748382263352393",667.896189381027
