index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Distancias,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Distancias_LAG1,Focal,Gamma
0,17846976,1,178469,Absent,28,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,19,13,Unicorn_Absent,-1,-1,0,19,0.91875,21.0,1.0,42.0,0.0,0.453125,RS,,,,,,0.05,0.99
4,17846976,3,178469,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,16,16,Unicorn_Absent,-1,-1,5,65,0.9,32.0,0.2926829268292683,50.0,0.0,0.53125,LEFT,0.91875,1.0,0.0,13,RS,0.05,0.99
16,17846976,9,178469,Absent,55,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,1,1,24,8,Unicorn_Absent,-1,-1,0,147,0.95,38.0,0.32075471698113206,42.0,0.7073170731707317,0.53125,RS,0.9,0.2926829268292683,0.0,16,LEFT,0.05,0.99
20,17846976,11,178469,Absent,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,2,Unicorn_Absent,-1,-1,1,207,0.9875,64.0,0.59375,64.0,0.7073170731707317,0.96875,ALL,0.95,0.32075471698113206,0.7073170731707317,8,RS,0.05,0.99
24,17846976,13,178469,Absent,28,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,17,15,Unicorn_Absent,-1,-1,8,252,0.90625,28.0,0.4375,43.0,0.19880349746893694,0.4375,OUT,0.9875,0.59375,0.7073170731707317,2,ALL,0.05,0.99
26,17846976,14,178469,Absent,22,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,24,8,Unicorn_Absent,-1,-1,0,276,0.95,18.0,0.24324324324324326,40.0,0.19880349746893694,0.5,RS,0.90625,0.4375,0.19880349746893694,15,OUT,0.05,0.99
28,17846976,15,178469,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,19,13,Unicorn_Absent,-1,-1,6,295,0.91875,32.0,0.21951219512195122,49.0,0.5168269230769231,0.5625,RIGHT,0.95,0.24324324324324326,0.19880349746893694,8,RS,0.05,0.99
32,17846976,17,178469,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,Unicorn_Absent,-1,-1,4,343,0.9,32.0,0.3333333333333333,48.0,0.5168269230769231,0.5,UP,0.91875,0.21951219512195122,0.5168269230769231,13,RIGHT,0.05,0.99
40,17846976,21,178469,Absent,55,0,0,1,0,1,1,1,1,1,0,0,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,1,0,1,22,10,Unicorn_Absent,-1,-1,0,450,0.9375,34.0,0.375,45.0,0.405241935483871,0.546875,RS,0.9,0.3333333333333333,0.5168269230769231,16,UP,0.05,0.99
56,17846976,29,178469,Absent,42,0,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,21,11,Unicorn_Absent,-1,-1,0,232,0.93125,29.0,0.3695652173913043,48.0,0.405241935483871,0.578125,RS,0.9375,0.375,0.405241935483871,10,RS,0.05,0.99
60,17846976,31,178469,Absent,28,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,18,14,Unicorn_Absent,-1,-1,8,168,0.9125,28.0,0.2391304347826087,47.0,0.7567567567567568,0.515625,OUT,0.93125,0.3695652173913043,0.405241935483871,11,RS,0.05,0.99
