level_0,index,Exp,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,b11,b12,b13,b14,b15,b16,b17,b18,b21,b22,b23,b24,b25,b26,b27,b28,b31,b32,b33,b34,b35,b36,b37,b38,b41,b42,b43,b44,b45,b46,b47,b48,b51,b52,b53,b54,b55,b56,b57,b58,b61,b62,b63,b64,b65,b66,b67,b68,b71,b72,b73,b74,b75,b76,b77,b78,b81,b82,b83,b84,b85,b86,b87,b88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,DLIndex_Mean,Fairness,Distancias,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Distancias_LAG1,Strategy_LAG1
4950,5298,WSLS,87119972,10,871129,Absent,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,2,0,0,1,0,0,0,0,5,8,0,0,0,0,0,0,0,32.0,0,Unicorn_Absent,-1,-1.0,,115.0,1.0,9,0.0,9,0.0,0.140625,0.25862068965517243,0.859375,0.049787068367863944,1.0,1.0,0.0,0.0,1.0,
4951,5306,WSLS,87119972,14,871129,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,0,Unicorn_Absent,-1,-1.0,,147.0,1.0,0,0.0,0,0.0,0.0,0.25862068965517243,1.0,1.0,1.0,0.0,0.0,0.0,0.049787068367863944,
4952,5308,WSLS,87119972,15,871129,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,0,Unicorn_Absent,-1,-1.0,,179.0,1.0,0,1.0,0,0.0,0.0,0.25862068965517243,1.0,1.0,1.0,0.0,0.0,0.0,1.0,
4953,5310,WSLS,87119972,16,871129,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,0,Unicorn_Absent,-1,-1.0,,211.0,1.0,0,1.0,0,0.0,0.0,0.25862068965517243,1.0,1.0,1.0,1.0,0.0,0.0,1.0,
4954,5314,WSLS,87119972,18,871129,Absent,47,1,1,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,1,13,23,7,0,0,4,0,0,34,22,0,0,29,0,0,45,32,0,0,1,14,0,0,0,43,0,0,0,19,25,0,10,0,44,42,0,6,36,17,20,0,0,12,8,5,0,3,0,2,40,15,0,27,16,0,18,0,31,0,0,0,0,9,47,32.0,0,Unicorn_Absent,-1,-1.0,,243.0,1.0,34,0.0,34,1.0,0.53125,0.25862068965517243,0.46875,0.005034190088132767,1.0,1.0,0.0,0.0,1.0,
4955,5318,WSLS,87119972,20,871129,Absent,23,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,10,0,0,16,0,2,0,8,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,14,22,0,0,0,0,0,0,0,11,0,0,0,0,20,0,1,0,0,0,0,23,9,18,0,0,13,0,0,0,7,19,0,0,0,4,0,21,0,0,13.0,19,Unicorn_Absent,-1,-1.0,,256.0,0.88125,19,0.17777777777777778,19,1.0,0.0,0.25862068965517243,1.0,0.012792465124422179,1.0,0.0,1.0,0.0,0.005034190088132767,
4956,5320,WSLS,87119972,21,871129,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,2,3,4,0,0,0,0,5,6,7,8,0,0,0,0,9,10,11,12,0,0,0,0,13,14,15,16,0,0,0,0,17,18,19,20,0,0,0,0,21,22,23,24,0,0,0,0,25,26,27,28,0,0,0,0,29,30,31,32,18.0,14,Unicorn_Absent,-1,-1.0,,274.0,0.9125,32,0.275,50,1.0,0.5625,0.25862068965517243,1.0,1.0,0.88125,0.17777777777777778,1.0,19.0,0.012792465124422179,
4957,5322,WSLS,87119972,22,871129,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,2,3,4,0,0,0,0,5,6,7,8,0,0,0,0,9,10,11,12,0,0,0,0,13,14,15,16,0,0,0,0,17,18,19,20,0,0,0,0,21,22,23,24,0,0,0,0,25,26,27,28,0,0,0,0,29,30,31,32,11.0,21,Unicorn_Absent,-1,-1.0,,285.0,0.86875,32,1.0,50,1.0,0.453125,0.25862068965517243,0.890625,1.0,0.9125,0.275,1.0,14.0,1.0,
4958,5324,WSLS,87119972,23,871129,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,2,3,4,0,0,0,0,5,6,7,8,0,0,0,0,9,10,11,12,0,0,0,0,13,14,15,16,0,0,0,0,17,18,19,20,0,0,0,0,21,22,23,24,0,0,0,0,25,26,27,28,0,0,0,0,29,30,31,32,27.0,5,Unicorn_Absent,-1,-1.0,,312.0,0.96875,32,1.0,42,0.0,0.578125,0.25862068965517243,0.734375,1.0,0.86875,1.0,1.0,21.0,1.0,
4959,5336,WSLS,87119972,29,871129,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,0,Unicorn_Absent,-1,-1.0,,344.0,1.0,0,0.0,64,0.0,1.0,0.25862068965517243,0.0,1.0,0.96875,1.0,0.0,5.0,1.0,
4960,5344,WSLS,87119972,33,871129,Absent,36,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,0,0,7,8,9,10,11,12,0,0,13,14,15,16,17,18,0,0,19,20,21,22,23,24,0,0,25,26,27,28,29,30,0,0,31,32,33,34,35,36,0,0,0,0,0,0,0,0,0,32.0,0,Unicorn_Absent,-1,-1.0,,376.0,1.0,36,0.0,36,0.0,0.5625,0.25862068965517243,0.4375,1.0,1.0,0.0,0.0,0.0,1.0,
4961,5348,WSLS,87119972,35,871129,Absent,36,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,5,6,0,0,7,8,9,10,11,12,0,0,13,14,15,16,17,18,0,0,19,20,21,22,23,24,0,0,25,26,27,28,29,30,0,0,31,32,33,34,35,36,0,0,0,0,0,0,0,0,0,15.0,17,Unicorn_Absent,-1,-1.0,,391.0,0.89375,36,1.0,45,0.0,0.4375,0.25862068965517243,0.84375,1.0,1.0,0.0,0.0,0.0,1.0,
4962,5352,WSLS,87119972,37,871129,Absent,20,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,7,0,0,0,3,0,0,0,6,0,0,13,0,0,18,0,0,0,1,0,0,0,8,0,0,0,0,0,5,17,15,0,12,0,0,0,0,19,0,0,0,16,10,14,0,0,0,0,0,0,4,0,0,0,0,0,15.0,17,Unicorn_Absent,-1,-1.0,,406.0,0.89375,17,0.2926829268292683,17,1.0,0.0,0.25862068965517243,1.0,0.016194143319162562,0.89375,1.0,0.0,17.0,1.0,
4963,5354,WSLS,87119972,38,871129,Absent,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,30.0,2,Unicorn_Absent,-1,-1.0,,436.0,0.9875,2,0.0,2,1.0,0.0,0.25862068965517243,1.0,0.2431167344342142,0.89375,0.2926829268292683,1.0,17.0,0.016194143319162562,
