level_0,index,Exp,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,b11,b12,b13,b14,b15,b16,b17,b18,b21,b22,b23,b24,b25,b26,b27,b28,b31,b32,b33,b34,b35,b36,b37,b38,b41,b42,b43,b44,b45,b46,b47,b48,b51,b52,b53,b54,b55,b56,b57,b58,b61,b62,b63,b64,b65,b66,b67,b68,b71,b72,b73,b74,b75,b76,b77,b78,b81,b82,b83,b84,b85,b86,b87,b88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,DLIndex_Mean,Fairness,Distancias,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Distancias_LAG1,Strategy_LAG1
0,4088,WSLS,10312043,5,103176,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,0,Unicorn_Absent,-1,-1.0,,32.0,1.0,0,1.0,64,0.0,1.0,0.7708333333333334,0.0,1.0,,,,,,
1,4090,WSLS,10312043,6,103176,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,0,Unicorn_Absent,-1,-1.0,,64.0,1.0,0,1.0,64,0.0,1.0,0.7708333333333334,0.0,1.0,1.0,1.0,0.0,0.0,1.0,
2,4092,WSLS,10312043,7,103176,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,0,Unicorn_Absent,-1,-1.0,,96.0,1.0,0,1.0,64,0.0,1.0,0.7708333333333334,0.0,1.0,1.0,1.0,0.0,0.0,1.0,
3,4096,WSLS,10312043,9,103176,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,0,Unicorn_Absent,-1,-1.0,,128.0,1.0,0,1.0,64,0.0,1.0,0.7708333333333334,0.0,1.0,1.0,1.0,0.0,0.0,1.0,
4,4102,WSLS,10312043,12,103176,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,0,Unicorn_Absent,-1,-1.0,,160.0,1.0,0,1.0,64,0.0,1.0,0.7708333333333334,0.0,1.0,1.0,1.0,0.0,0.0,1.0,
5,4106,WSLS,10312043,14,103176,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,0,Unicorn_Absent,-1,-1.0,,192.0,1.0,0,1.0,64,0.0,1.0,0.7708333333333334,0.0,1.0,1.0,1.0,0.0,0.0,1.0,
6,4108,WSLS,10312043,15,103176,Absent,63,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,0,1,1,1,1,0,1,0,0,1,1,0,0,1,1,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,13,41,31,37,54,36,0,0,8,16,0,0,0,0,14,48,0,11,10,39,62,0,6,0,0,60,33,0,0,12,5,15,26,0,20,0,0,24,0,29,7,0,0,0,0,21,0,18,44,0,0,0,0,53,4,0,0,1,0,0,28,3,0,0,-1.0,33,Unicorn_Absent,-1,-1.0,,191.0,0.79375,33,0.0,64,0.0,0.484375,0.7708333333333334,0.515625,0.006737946999085467,1.0,1.0,0.0,0.0,1.0,
7,4112,WSLS,10312043,17,103176,Absent,30,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,20,8,13,7,11,14,6,5,0,0,0,0,0,15,0,0,0,0,23,24,17,0,0,10,9,0,0,0,0,0,0,0,0,0,12,0,0,3,0,0,0,0,0,0,0,18,19,0,0,4,2,0,16,0,0,0,0,1,0,0,30,0,9.0,23,Unicorn_Absent,-1,-1.0,,200.0,0.85625,23,0.36585365853658536,64,0.0,0.640625,0.7708333333333334,0.359375,0.008264124158046258,0.79375,0.0,0.0,33.0,0.006737946999085467,
8,4116,WSLS,10312043,19,103176,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,0,Unicorn_Absent,-1,-1.0,,232.0,1.0,0,0.0,64,0.0,1.0,0.7708333333333334,0.0,1.0,0.85625,0.36585365853658536,0.0,23.0,0.008264124158046258,
9,4118,WSLS,10312043,20,103176,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,0,Unicorn_Absent,-1,-1.0,,264.0,1.0,0,1.0,64,0.0,1.0,0.7708333333333334,0.0,1.0,1.0,0.0,0.0,0.0,1.0,
10,4120,WSLS,10312043,21,103176,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,0,Unicorn_Absent,-1,-1.0,,296.0,1.0,0,1.0,64,0.0,1.0,0.7708333333333334,0.0,1.0,1.0,1.0,0.0,0.0,1.0,
11,4126,WSLS,10312043,24,103176,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,0,Unicorn_Absent,-1,-1.0,,328.0,1.0,0,1.0,64,0.0,1.0,0.7708333333333334,0.0,1.0,1.0,1.0,0.0,0.0,1.0,
12,4128,WSLS,10312043,25,103176,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,0,Unicorn_Absent,-1,-1.0,,360.0,1.0,0,1.0,64,1.0,1.0,0.7708333333333334,0.0,1.0,1.0,1.0,0.0,0.0,1.0,
13,4130,WSLS,10312043,26,103176,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,0,Unicorn_Absent,-1,-1.0,,392.0,1.0,0,1.0,64,1.0,1.0,0.7708333333333334,0.0,1.0,1.0,1.0,1.0,0.0,1.0,
14,4134,WSLS,10312043,28,103176,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,0,Unicorn_Absent,-1,-1.0,,424.0,1.0,0,1.0,64,0.6341463414634146,1.0,0.7708333333333334,0.0,1.0,1.0,1.0,1.0,0.0,1.0,
15,4138,WSLS,10312043,30,103176,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,0,Unicorn_Absent,-1,-1.0,,456.0,1.0,0,1.0,64,0.6341463414634146,1.0,0.7708333333333334,0.0,1.0,1.0,1.0,0.6341463414634146,0.0,1.0,
16,4140,WSLS,10312043,31,103176,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,0,Unicorn_Absent,-1,-1.0,,488.0,1.0,0,1.0,64,1.0,1.0,0.7708333333333334,0.0,1.0,1.0,1.0,0.6341463414634146,0.0,1.0,
17,4142,WSLS,10312043,32,103176,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,0,Unicorn_Absent,-1,-1.0,,520.0,1.0,0,1.0,64,1.0,1.0,0.7708333333333334,0.0,1.0,1.0,1.0,1.0,0.0,1.0,
18,4148,WSLS,10312043,35,103176,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,0,Unicorn_Absent,-1,-1.0,,552.0,1.0,0,1.0,64,0.0,1.0,0.7708333333333334,0.0,1.0,1.0,1.0,1.0,0.0,1.0,
19,4152,WSLS,10312043,37,103176,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,0,Unicorn_Absent,-1,-1.0,,584.0,1.0,0,1.0,64,0.0,1.0,0.7708333333333334,0.0,1.0,1.0,1.0,0.0,0.0,1.0,
20,4156,WSLS,10312043,39,103176,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,0,Unicorn_Absent,-1,-1.0,,616.0,1.0,0,1.0,64,0.0,1.0,0.7708333333333334,0.0,1.0,1.0,1.0,0.0,0.0,1.0,
21,4158,WSLS,10312043,40,103176,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,0,Unicorn_Absent,-1,-1.0,,648.0,1.0,0,1.0,64,0.0,1.0,0.7708333333333334,0.0,1.0,1.0,1.0,0.0,0.0,1.0,
22,4164,WSLS,10312043,43,103176,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.0,0,Unicorn_Absent,-1,-1.0,,680.0,1.0,0,1.0,64,0.0,1.0,0.7708333333333334,0.0,1.0,1.0,1.0,0.0,0.0,1.0,
23,4170,WSLS,10312043,46,103176,Absent,57,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,1,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,1,0,1,1,1,0,1,1,0,1,9,14,0,53,1,0,0,36,44,37,7,50,19,26,0,0,24,34,0,27,41,12,0,5,0,0,32,0,0,16,0,8,25,22,4,35,0,0,40,0,17,0,0,0,18,56,0,2,0,11,0,0,23,0,38,0,20,15,28,0,49,45,0,13,-6.0,38,Unicorn_Absent,-1,-1.0,,674.0,0.7625,38,0.0,38,0.0,0.0,0.7708333333333334,1.0,0.0061027272741740034,1.0,1.0,0.0,0.0,1.0,
24,4174,WSLS,10312043,48,103176,Absent,62,0,1,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1,1,1,0,1,0,1,1,1,0,1,1,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0,1,1,1,1,0,2,11,0,0,20,0,33,7,0,0,49,34,14,37,0,25,5,0,15,39,0,0,0,0,16,10,0,22,0,58,0,0,51,1,40,0,24,0,48,17,13,0,21,54,0,0,3,36,57,0,0,0,4,0,32,35,19,31,0,55,53,6,9,-6.0,38,Unicorn_Absent,-1,-1.0,,668.0,0.7625,38,0.46153846153846156,64,0.0,0.40625,0.7708333333333334,0.59375,0.0061027272741740034,0.7625,0.0,0.0,38.0,0.0061027272741740034,
25,4176,WSLS,10312043,49,103176,Absent,32,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,0,1,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,3,10,0,0,0,0,0,0,0,0,0,21,0,22,0,26,23,2,0,4,0,1,0,0,0,11,30,32,0,0,9,31,0,0,7,0,0,0,29,17,0,0,0,0,0,19,25,0,12,14,0,15,8,0,28,0,6,5,0,0,0,0,6.0,26,Unicorn_Absent,-1,-1.0,,674.0,0.8375,26,0.2549019607843137,64,0.0,0.59375,0.7708333333333334,0.40625,0.0061027272741740034,0.7625,0.46153846153846156,0.0,38.0,0.0061027272741740034,
26,4182,WSLS,10312043,52,103176,Absent,31,1,0,1,0,0,0,0,1,1,1,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0,1,0,0,2,0,24,0,0,0,0,7,9,17,22,0,4,0,29,0,0,19,0,0,30,0,25,0,23,28,1,0,0,21,0,0,0,10,3,0,0,0,0,0,11,0,16,26,0,0,0,0,0,0,8,5,6,15,18,20,0,27,0,13,0,12,0,0,3.0,29,Unicorn_Absent,-1,-1.0,,677.0,0.81875,29,0.2222222222222222,29,0.0,0.0,0.7708333333333334,1.0,0.006737946999085467,0.8375,0.2549019607843137,0.0,26.0,0.0061027272741740034,
27,4184,WSLS,10312043,53,103176,Absent,35,0,0,0,0,0,1,1,1,1,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,21,17,35,18,0,0,7,0,0,0,22,0,10,0,2,16,6,0,0,0,24,8,0,0,31,0,29,9,0,0,0,0,0,0,15,0,0,12,0,0,14,25,0,19,3,0,33,11,0,1,0,0,4,0,23,20,0,13,0,4.0,28,Unicorn_Absent,-1,-1.0,,681.0,0.825,28,0.29545454545454547,28,0.0,0.0,0.7708333333333334,1.0,0.005034190088132767,0.81875,0.2222222222222222,0.0,29.0,0.006737946999085467,
28,4190,WSLS,10312043,56,103176,Absent,7,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,7,0,0,0,0,0,2,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,25.0,7,Unicorn_Absent,-1,-1.0,,706.0,0.95625,7,0.09375,7,0.0,0.0,0.7708333333333334,1.0,0.07095202666684558,0.825,0.29545454545454547,0.0,28.0,0.005034190088132767,
29,4192,WSLS,10312043,57,103176,Absent,23,0,0,0,1,1,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,16,2,0,0,0,0,11,18,0,12,0,0,0,7,0,0,1,5,0,0,0,4,0,0,0,3,0,0,0,0,0,9,23,0,0,0,0,20,0,13,6,0,0,0,0,0,21,19,10,0,0,0,0,0,0,0,0,0,22,0,12.0,20,Unicorn_Absent,-1,-1.0,,718.0,0.875,20,0.22727272727272727,20,0.0,0.0,0.7708333333333334,1.0,0.01142289099346694,0.95625,0.09375,0.0,7.0,0.07095202666684558,
30,4089,WSLS,10312043,5,204313,Absent,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,32.0,0,Unicorn_Absent,-1,-1.0,,32.0,1.0,64,1.0,64,0.0,1.0,0.7708333333333334,0.0,1.0,,,,,,
31,4091,WSLS,10312043,6,204313,Absent,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,32.0,0,Unicorn_Absent,-1,-1.0,,64.0,1.0,64,1.0,64,0.0,1.0,0.7708333333333334,0.0,1.0,1.0,1.0,0.0,0.0,1.0,
32,4093,WSLS,10312043,7,204313,Absent,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,32.0,0,Unicorn_Absent,-1,-1.0,,96.0,1.0,64,1.0,64,0.0,1.0,0.7708333333333334,0.0,1.0,1.0,1.0,0.0,0.0,1.0,
33,4097,WSLS,10312043,9,204313,Absent,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,32.0,0,Unicorn_Absent,-1,-1.0,,128.0,1.0,64,1.0,64,0.0,1.0,0.7708333333333334,0.0,1.0,1.0,1.0,0.0,0.0,1.0,
34,4103,WSLS,10312043,12,204313,Absent,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,32.0,0,Unicorn_Absent,-1,-1.0,,160.0,1.0,64,1.0,64,0.0,1.0,0.7708333333333334,0.0,1.0,1.0,1.0,0.0,0.0,1.0,
35,4107,WSLS,10312043,14,204313,Absent,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,32.0,0,Unicorn_Absent,-1,-1.0,,192.0,1.0,64,1.0,64,0.0,1.0,0.7708333333333334,0.0,1.0,1.0,1.0,0.0,0.0,1.0,
