index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Distancias,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Distancias_LAG1,Focal,Gamma
3600,17077367,1,170702,Absent,45,1,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,1,0,13,19,Unicorn_Absent,-1,-1.0,0,13,0.88125,34.0,1.0,49.0,0.0,0.46875,RS,,,,,,0.025,0.95
3602,17077367,2,170702,Absent,45,1,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,1,0,13,19,Unicorn_Absent,-1,-1.0,0,26,0.88125,34.0,1.0,49.0,0.0,0.46875,RS,0.88125,1.0,0.0,19,RS,0.025,0.95
3604,17077367,3,170702,Absent,45,1,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,1,0,13,19,Unicorn_Absent,-1,-1.0,0,39,0.88125,34.0,1.0,49.0,0.0,0.46875,RS,0.88125,1.0,0.0,19,RS,0.025,0.95
3606,17077367,4,170702,Absent,45,1,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,1,0,13,19,Unicorn_Absent,-1,-1.0,0,52,0.88125,34.0,1.0,49.0,0.0,0.46875,RS,0.88125,1.0,0.0,19,RS,0.025,0.95
3608,17077367,5,170702,Absent,45,1,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,1,0,13,19,Unicorn_Absent,-1,-1.0,0,65,0.88125,34.0,1.0,49.0,0.0,0.46875,RS,0.88125,1.0,0.0,19,RS,0.025,0.95
3610,17077367,6,170702,Absent,45,1,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,1,0,16,16,Unicorn_Absent,-1,-1.0,0,81,0.9,34.0,1.0,50.0,0.0,0.53125,RS,0.88125,1.0,0.0,19,RS,0.025,0.95
3612,17077367,7,170702,Absent,45,1,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,1,0,24,8,Unicorn_Absent,-1,-1.0,0,105,0.95,34.0,1.0,45.0,0.0,0.578125,RS,0.9,1.0,0.0,16,RS,0.025,0.95
3614,17077367,8,170702,Absent,45,1,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,1,0,1,0,24,8,Unicorn_Absent,-1,-1.0,0,129,0.95,34.0,1.0,45.0,0.0,0.578125,RS,0.95,1.0,0.0,8,RS,0.025,0.95
3616,17077367,9,170702,Absent,8,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,30,2,Unicorn_Absent,-1,-1.0,0,159,0.9875,7.0,0.10810810810810811,24.0,0.0,0.34375,RS,0.95,1.0,0.0,8,RS,0.025,0.95
3618,17077367,10,170702,Absent,16,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,29,3,Unicorn_Absent,-1,-1.0,0,188,0.98125,16.0,0.0,34.0,0.0,0.484375,RS,0.9875,0.10810810810810811,0.0,2,RS,0.025,0.95
