"par","value","feval","restarts","convergence","message"
0.0797051595467395,671.788460608249,517,1,0,"Successful convergence"
0.0414726771883395,671.788460608249,517,1,0,"Successful convergence"
0.0096098630503775,671.788460608249,517,1,0,"Successful convergence"
0.00169451766781439,671.788460608249,517,1,0,"Successful convergence"
496.037986621238,671.788460608249,517,1,0,"Successful convergence"
499.920773857502,671.788460608249,517,1,0,"Successful convergence"
4.40725652741263,671.788460608249,517,1,0,"Successful convergence"
469.507478894856,671.788460608249,517,1,0,"Successful convergence"
499.573604087465,671.788460608249,517,1,0,"Successful convergence"
0.758346769614262,671.788460608249,517,1,0,"Successful convergence"
