index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Distancias,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Distancias_LAG1,Epsilon,Zeta
1937,30273564,9,356453,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,12,Unicorn_Absent,-1,-1.0,3,108,0.925,32.0,0.4375,50.0,0.0,0.59375,DOWN,0.91875,1.0,0.0,13,,0.5,0.2
1939,30273564,10,356453,Absent,34,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,0,1,0,1,1,1,0,0,1,0,1,1,1,0,1,1,0,0,0,0,19,13,Unicorn_Absent,-1,-1.0,9,127,0.91875,28.0,0.36363636363636365,45.0,0.0,0.5,,0.925,0.4375,0.0,12,DOWN,0.5,0.2
1943,30273564,12,356453,Absent,37,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,15,17,Unicorn_Absent,-1,-1.0,9,172,0.89375,26.0,0.2,48.0,0.0,0.484375,,0.91875,0.36363636363636365,0.0,13,,0.5,0.2
1945,30273564,13,356453,Absent,37,0,0,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,15,17,Unicorn_Absent,-1,-1.0,9,187,0.89375,26.0,1.0,48.0,0.6382978723404256,0.484375,,0.89375,0.2,0.0,17,,0.5,0.2
1953,30273564,17,356453,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,9,312,1.0,0.0,0.0,35.0,0.6382978723404256,0.546875,,0.89375,1.0,0.6382978723404256,17,,0.5,0.2
1955,30273564,18,356453,Absent,53,1,0,1,1,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,1,1,1,0,1,0,0,1,1,0,1,0,1,0,1,18,14,Unicorn_Absent,-1,-1.0,9,330,0.9125,37.0,0.0,49.0,0.0,0.546875,,1.0,0.0,0.6382978723404256,0,,0.5,0.2
1969,30273564,25,356453,Absent,14,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,31,1,Unicorn_Absent,-1,-1.0,9,446,0.99375,13.0,0.25,23.0,0.0,0.34375,,0.9125,0.0,0.0,14,,0.5,0.2
1971,30273564,26,356453,Absent,41,1,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,27,5,Unicorn_Absent,-1,-1.0,9,473,0.96875,25.0,0.26666666666666666,39.0,0.9130434782608696,0.53125,,0.99375,0.25,0.0,1,,0.5,0.2
1975,30273564,28,356453,Absent,16,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,29,3,Unicorn_Absent,-1,-1.0,9,533,0.98125,14.0,0.21875,32.0,0.9130434782608696,0.453125,,0.96875,0.26666666666666666,0.9130434782608696,5,,0.5,0.2
1977,30273564,29,356453,Absent,18,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,25,7,Unicorn_Absent,-1,-1.0,9,558,0.95625,16.0,0.2,33.0,0.3796594569719282,0.40625,,0.98125,0.21875,0.9130434782608696,3,,0.5,0.2
