index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Distancias,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Distancias_LAG1,Epsilon,Zeta
2,13546381,2,135429,Absent,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,32,0,Unicorn_Absent,-1,-1.0,0,63,1.0,11.0,1.0,23.0,0.0,0.359375,RS,,,,,,0.3,0.2
6,13546381,4,135429,Absent,52,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,1,1,1,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,23,9,Unicorn_Absent,-1,-1.0,0,13,0.94375,35.0,0.1794871794871795,41.0,0.0,0.5,RS,1.0,1.0,0.0,0,RS,0.3,0.2
8,13546381,5,135429,Absent,52,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,1,1,1,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,23,9,Unicorn_Absent,-1,-1.0,0,36,0.94375,35.0,1.0,41.0,0.09948717948717949,0.5,RS,0.94375,0.1794871794871795,0.0,9,RS,0.3,0.2
14,13546381,8,135429,Absent,52,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,1,1,1,0,1,0,0,0,1,1,0,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1,28,4,Unicorn_Absent,-1,-1.0,0,21,0.975,35.0,1.0,40.0,0.09948717948717949,0.5625,RS,0.94375,1.0,0.09948717948717949,9,RS,0.3,0.2
18,13546381,10,135429,Absent,53,0,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,20,12,Unicorn_Absent,-1,-1.0,0,71,0.925,39.0,0.37037037037037035,44.0,0.0,0.5,RS,0.975,1.0,0.09948717948717949,4,RS,0.3,0.2
20,13546381,11,135429,Absent,53,0,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,10,22,Unicorn_Absent,-1,-1.0,0,81,0.8625,39.0,1.0,53.0,0.0,0.484375,RS,0.925,0.37037037037037035,0.0,12,RS,0.3,0.2
26,13546381,14,135429,Absent,43,0,1,0,1,0,1,1,0,0,0,1,0,0,1,0,1,1,1,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,13,19,Unicorn_Absent,-1,-1.0,0,137,0.88125,32.0,0.33962264150943394,54.0,0.8,0.546875,RS,0.8625,1.0,0.0,22,RS,0.3,0.2
30,13546381,16,135429,Absent,49,1,0,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,1,1,1,0,1,0,0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,1,0,0,1,20,12,Unicorn_Absent,-1,-1.0,0,187,0.925,33.0,0.3,45.0,0.8,0.515625,RS,0.88125,0.33962264150943394,0.8,19,RS,0.3,0.2
36,13546381,19,135429,Absent,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,29,3,Unicorn_Absent,-1,-1.0,0,276,0.98125,3.0,0.0,64.0,0.18855218855218853,0.953125,RS,0.925,0.3,0.8,12,RS,0.3,0.2
40,13546381,21,135429,Absent,61,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,1,0,1,1,-5,37,Unicorn_Absent,-1,-1.0,0,302,0.76875,37.0,0.08108108108108109,64.0,0.18855218855218853,0.421875,RS,0.98125,0.0,0.18855218855218853,3,RS,0.3,0.2
