level_0,index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Category,Distancias,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Distancias_LAG1,Epsilon,Zeta
440,874,84008529,18,840021,Absent,39,0,0,0,1,0,1,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,1,1,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,16,16,Unicorn_Absent,-1,-1,0,341,0.9,29.0,1.0,54.0,0.0,0.59375,RS,0.18818508442027443,0.9,1.0,0.0,16,0.18818508442027443,0.3,0
442,888,84008529,25,840021,Absent,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1,0,449,1.0,1.0,0.034482758620689655,39.0,0.0,0.609375,RS,0.594749338357888,0.9,1.0,0.0,16,0.18818508442027443,0.3,0
444,894,84008529,28,840021,Absent,13,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,27,5,Unicorn_Absent,-1,-1,0,434,0.96875,12.0,0.08333333333333333,38.0,0.0,0.515625,RS,0.3390304398248439,1.0,0.034482758620689655,0.0,0,0.594749338357888,0.3,0
446,896,84008529,29,840021,Absent,13,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,27,5,Unicorn_Absent,-1,-1,0,461,0.96875,12.0,1.0,38.0,0.0,0.515625,RS,0.3390304398248439,0.96875,0.08333333333333333,0.0,5,0.3390304398248439,0.3,0
448,900,84008529,31,840021,Absent,13,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,27,5,Unicorn_Absent,-1,-1,0,419,0.96875,12.0,1.0,38.0,0.0,0.515625,RS,0.3390304398248439,0.96875,1.0,0.0,5,0.3390304398248439,0.3,0
450,902,84008529,32,840021,Absent,13,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,27,5,Unicorn_Absent,-1,-1,0,446,0.96875,12.0,1.0,38.0,0.0,0.515625,RS,0.3390304398248439,0.96875,1.0,0.0,5,0.3390304398248439,0.3,0
452,908,84008529,35,840021,Absent,13,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,27,5,Unicorn_Absent,-1,-1,0,431,0.96875,12.0,1.0,38.0,0.0,0.515625,RS,0.3390304398248439,0.96875,1.0,0.0,5,0.3390304398248439,0.3,0
454,912,84008529,37,840021,Absent,58,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,0,1,0,1,1,0,1,0,0,1,1,1,0,1,1,1,1,0,1,0,15,17,Unicorn_Absent,-1,-1,0,478,0.89375,38.0,0.21951219512195122,52.0,0.0,0.546875,RS,0.149963012878635,0.96875,1.0,0.0,5,0.3390304398248439,0.3,0
456,914,84008529,38,840021,Absent,58,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,0,1,0,1,1,0,1,0,0,1,1,1,0,1,1,1,1,0,1,0,15,17,Unicorn_Absent,-1,-1,0,493,0.89375,38.0,1.0,52.0,0.0,0.546875,RS,0.149963012878635,0.89375,0.21951219512195122,0.0,17,0.149963012878635,0.3,0
458,916,84008529,39,840021,Absent,58,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,1,0,1,1,1,0,0,0,1,1,1,1,0,1,0,1,1,0,1,0,0,1,1,1,0,1,1,1,1,0,1,0,15,17,Unicorn_Absent,-1,-1,0,508,0.89375,38.0,1.0,52.0,0.0,0.546875,RS,0.149963012878635,0.89375,1.0,0.0,17,0.149963012878635,0.3,0
