"model","MB","WS","FR","MB","WS","FR","MB","WS","FR","MB","WS","FR","MB","WS","FR","MB","WS","FR","MB","WS","FR","MB","WS","FR","MB","WS","FR","MB","WS","FR"
"MBiases",7724.11286114145,8091.46963883384,10000,8933.04693294545,10000,10000,8200.10973471038,10000,10000,5934.60645391851,10000,10000,6701.08628670043,10000,6361.4471578853,8811.82401994427,10000,10000,4068.12513485985,10000,10000,6452.6952205885,10000,6784.18333975664,8314.17171439481,10000,6340.93853111978,5885.12422027582,10000,10000
"WSLS",10000,5181.62095950093,10000,8933.04693296099,10000,10000,10000,3477.9254265251,10000,10000,4494.82790023775,10000,10000,4390.56107468187,10000,10000,4853.65086282422,10000,10000,3187.60266958973,10000,6452.69522079371,4338.4604224356,6296.36484530749,10000,3079.70449774517,6292.41954542246,5885.12422133359,3213.76916702464,10000
"FRA",7999.91840177021,5581.40544909777,4138.5353457652,9208.89753508961,6748.97929056897,4276.47563847141,8200.10973505003,5224.99650606674,10000,6132.34746695427,5892.78696484147,4379.31899194577,6699.86906775962,5654.8707851052,4922.87058634127,9834.28108434447,6051.98692140798,4384.34937265647,4068.1153742841,4900.02603900299,4379.18074652412,6653.14427545396,5705.35897332576,5162.37988913843,9297.72012928524,4893.0990042447,4982.01475581099,6017.76547073605,4562.89241960373,4415.33726677238
