"par","value","feval","restarts","convergence","message"
0.0920701861669562,7268.37841651574,873,0,0,"Successful convergence"
0.0377457118681886,7268.37841651574,873,0,0,"Successful convergence"
0.0416426090995227,7268.37841651574,873,0,0,"Successful convergence"
0.0240527861030142,7268.37841651574,873,0,0,"Successful convergence"
0,7268.37841651574,873,0,0,"Successful convergence"
499.000008749004,7268.37841651574,873,0,0,"Successful convergence"
32,7268.37841651574,873,0,0,"Successful convergence"
1.84089765098427e-05,7268.37841651574,873,0,0,"Successful convergence"
499.001649899398,7268.37841651574,873,0,0,"Successful convergence"
1,7268.37841651574,873,0,0,"Successful convergence"
