"par","value","feval","restarts","convergence","message"
0.0093390127359606,4273.57738762539,1060,1,0,"Successful convergence"
0.0769542118945237,4273.57738762539,1060,1,0,"Successful convergence"
0.00853376679694696,4273.57738762539,1060,1,0,"Successful convergence"
0.0236384784619987,4273.57738762539,1060,1,0,"Successful convergence"
495.495498852517,4273.57738762539,1060,1,0,"Successful convergence"
499.99937944727,4273.57738762539,1060,1,0,"Successful convergence"
31.6128055321037,4273.57738762539,1060,1,0,"Successful convergence"
0.063999216336097,4273.57738762539,1060,1,0,"Successful convergence"
499.001727785525,4273.57738762539,1060,1,0,"Successful convergence"
0.999999999161697,4273.57738762539,1060,1,0,"Successful convergence"
