"par","value","feval","restarts","convergence","message"
0.00882289493618815,1458.50277450811,428,0,0,"Successful convergence"
0.00351886937953985,1458.50277450811,428,0,0,"Successful convergence"
0.00273237276958804,1458.50277450811,428,0,0,"Successful convergence"
0.00743053595607087,1458.50277450811,428,0,0,"Successful convergence"
494.339463756679,1458.50277450811,428,0,0,"Successful convergence"
499.964249705714,1458.50277450811,428,0,0,"Successful convergence"
19.3518455891013,1458.50277450811,428,0,0,"Successful convergence"
493.448802376956,1458.50277450811,428,0,0,"Successful convergence"
499.882800294049,1458.50277450811,428,0,0,"Successful convergence"
1.29210707204449,1458.50277450811,428,0,0,"Successful convergence"
