index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Distancias,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Distancias_LAG1,Focal,Gamma
3104,68622627,53,686213,Absent,46,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,1,1,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,13,19,Unicorn_Absent,-1,-1,0,237,0.88125,32.0,0.0,51.0,0.12145748987854255,0.5,RS,1.0,0.0,0.12145748987854255,0,RS,0.025,0.99
3108,68622627,55,686213,Absent,20,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,23,9,Unicorn_Absent,-1,-1,0,292,0.94375,16.0,0.2631578947368421,41.0,0.13502673796791445,0.5,RS,0.88125,0.0,0.12145748987854255,19,RS,0.025,0.99
3118,68622627,60,686213,Absent,46,1,1,0,1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,1,0,14,18,Unicorn_Absent,-1,-1,0,290,0.8875,35.0,0.1590909090909091,49.0,0.13502673796791445,0.484375,RS,0.94375,0.2631578947368421,0.13502673796791445,9,RS,0.025,0.99
840,73675253,1,73678,Absent,28,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,21,11,Unicorn_Absent,-1,-1,0,21,0.93125,24.0,1.0,45.0,0.0,0.53125,RS,,,,,,0.025,0.99
844,73675253,3,73678,Absent,28,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,1,21,11,Unicorn_Absent,-1,-1,0,71,0.93125,24.0,1.0,45.0,0.0,0.53125,RS,0.93125,1.0,0.0,11,RS,0.025,0.99
848,73675253,5,73678,Absent,19,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25,7,Unicorn_Absent,-1,-1,0,32,0.95625,13.0,0.12121212121212122,38.0,0.0,0.484375,RS,0.93125,1.0,0.0,11,RS,0.025,0.99
850,73675253,6,73678,Absent,19,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,Unicorn_Absent,-1,-1,0,63,0.99375,13.0,1.0,44.0,0.0,0.671875,RS,0.95625,0.12121212121212122,0.0,7,RS,0.025,0.99
852,73675253,7,73678,Absent,46,0,0,0,0,0,1,1,1,1,0,1,0,1,1,0,1,1,0,1,1,1,0,1,0,1,0,0,0,1,0,1,1,1,1,0,1,1,0,1,1,0,0,0,1,1,1,1,0,0,0,1,1,0,0,0,1,1,0,1,1,0,0,1,1,14,18,Unicorn_Absent,-1,-1,0,77,0.8875,35.0,0.2631578947368421,49.0,0.8787878787878788,0.484375,RS,0.99375,1.0,0.0,1,RS,0.025,0.99
856,73675253,9,73678,Absent,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,1,Unicorn_Absent,-1,-1,0,140,0.99375,3.0,0.05555555555555555,39.0,0.8787878787878788,0.59375,RS,0.8875,0.2631578947368421,0.8787878787878788,18,RS,0.025,0.99
860,73675253,11,73678,Absent,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,3,Unicorn_Absent,-1,-1,0,102,0.98125,3.0,1.0,34.0,0.72,0.484375,RS,0.99375,0.05555555555555555,0.8787878787878788,1,RS,0.025,0.99
