index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Distancias,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Distancias_LAG1,Focal,Alpha
2040,11415706,1,114118,Absent,36,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,15,17,Unicorn_Absent,-1,-1,0,15,0.89375,27.0,1.0,46.0,0.0,0.453125,RS,,,,,,0.025,0
2042,11415706,2,114118,Absent,36,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,15,17,Unicorn_Absent,-1,-1,0,30,0.89375,27.0,1.0,46.0,0.0,0.453125,RS,0.89375,1.0,0.0,17,RS,0.025,0
2046,11415706,4,114118,Absent,36,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,15,17,Unicorn_Absent,-1,-1,0,-36,0.89375,27.0,1.0,46.0,0.0,0.453125,RS,0.89375,1.0,0.0,17,RS,0.025,0
2048,11415706,5,114118,Absent,36,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,15,17,Unicorn_Absent,-1,-1,0,-21,0.89375,27.0,1.0,46.0,0.0,0.453125,RS,0.89375,1.0,0.0,17,RS,0.025,0
2050,11415706,6,114118,Absent,36,1,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,15,17,Unicorn_Absent,-1,-1,0,-6,0.89375,27.0,1.0,46.0,0.0,0.453125,RS,0.89375,1.0,0.0,17,RS,0.025,0
2056,11415706,9,114118,Absent,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,26,6,Unicorn_Absent,-1,-1,0,80,0.9625,12.0,0.18181818181818182,29.0,0.0,0.359375,RS,0.89375,1.0,0.0,17,RS,0.025,0
2060,11415706,11,114118,Absent,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,26,6,Unicorn_Absent,-1,-1,0,132,0.9625,12.0,1.0,29.0,0.0,0.359375,RS,0.9625,0.18181818181818182,0.0,6,RS,0.025,0
2062,11415706,12,114118,Absent,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,26,6,Unicorn_Absent,-1,-1,0,158,0.9625,12.0,1.0,29.0,0.0,0.359375,RS,0.9625,1.0,0.0,6,RS,0.025,0
2070,11415706,16,114118,Absent,62,0,0,1,1,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,0,1,0,1,0,12,20,Unicorn_Absent,-1,-1,0,251,0.875,44.0,0.19148936170212766,55.0,0.0,0.546875,RS,0.9625,1.0,0.0,6,RS,0.025,0
2072,11415706,17,114118,Absent,62,0,0,1,1,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,1,0,1,0,1,0,12,20,Unicorn_Absent,-1,-1,0,263,0.875,44.0,1.0,55.0,0.0,0.546875,RS,0.875,0.19148936170212766,0.0,20,RS,0.025,0
