index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Distancias,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Distancias_LAG1,Focal,Alpha
1440,13293085,1,132945,Absent,42,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,0,1,0,24,8,Unicorn_Absent,-1,-1,0,24,0.95,33.0,1.0,42.0,0.0,0.53125,RS,,,,,,0.075,150
1442,13293085,2,132945,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,7,Unicorn_Absent,-1,-1,4,49,0.95625,32.0,0.2037037037037037,42.0,0.0,0.546875,UP,0.95,1.0,0.0,8,RS,0.075,150
1444,13293085,3,132945,Absent,22,0,0,0,0,1,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,13,19,Unicorn_Absent,-1,-1,0,62,0.88125,19.0,0.18604651162790697,64.0,0.7962962962962963,0.703125,RS,0.95625,0.2037037037037037,0.0,7,UP,0.075,150
1448,13293085,5,132945,Absent,21,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,20,12,Unicorn_Absent,-1,-1,0,112,0.925,20.0,0.05405405405405406,36.0,0.7962962962962963,0.375,RS,0.88125,0.18604651162790697,0.7962962962962963,19,RS,0.075,150
1452,13293085,7,132945,Absent,10,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,28,4,Unicorn_Absent,-1,-1,0,157,0.975,10.0,0.1111111111111111,38.0,0.07957848837209303,0.53125,RS,0.925,0.05405405405405406,0.7962962962962963,12,RS,0.075,150
1456,13293085,9,132945,Absent,28,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,18,14,Unicorn_Absent,-1,-1,8,108,0.9125,28.0,0.08571428571428572,46.0,0.07957848837209303,0.5,OUT,0.975,0.1111111111111111,0.07957848837209303,4,RS,0.075,150
1458,13293085,10,132945,Absent,23,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,32,0,Unicorn_Absent,-1,-1,0,140,1.0,18.0,0.15,18.0,0.38344594594594594,0.28125,RS,0.9125,0.08571428571428572,0.07957848837209303,14,OUT,0.075,150
1464,13293085,13,132945,Absent,36,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,14,18,Unicorn_Absent,-1,-1,7,25,0.8875,36.0,0.2857142857142857,50.0,0.38344594594594594,0.5,IN,1.0,0.15,0.38344594594594594,0,RS,0.075,150
1466,13293085,14,132945,Absent,53,1,1,1,0,0,1,0,1,1,1,0,0,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,1,1,1,1,0,0,1,1,0,0,1,1,1,1,32,0,Unicorn_Absent,-1,-1,0,57,1.0,37.0,0.40384615384615385,37.0,0.19323671497584544,0.578125,RS,0.8875,0.2857142857142857,0.38344594594594594,18,IN,0.075,150
1468,13293085,15,132945,Absent,23,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,32,0,Unicorn_Absent,-1,-1,0,89,1.0,22.0,0.2826086956521739,22.0,0.19323671497584544,0.34375,RS,1.0,0.40384615384615385,0.19323671497584544,0,RS,0.075,150
1472,13293085,17,132945,Absent,49,1,0,0,0,1,0,1,0,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,32,0,Unicorn_Absent,-1,-1,0,153,1.0,34.0,0.3023255813953488,34.0,0.2476190476190476,0.53125,RS,1.0,0.2826086956521739,0.19323671497584544,0,RS,0.075,150
1476,13293085,19,132945,Absent,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,28,Unicorn_Absent,-1,-1,1,93,0.825,64.0,0.53125,64.0,0.2476190476190476,0.5625,ALL,1.0,0.3023255813953488,0.2476190476190476,0,RS,0.075,150
1478,13293085,20,132945,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,Unicorn_Absent,-1,-1,4,93,0.8,32.0,0.5,32.0,0.15,0.0,UP,0.825,0.53125,0.2476190476190476,28,ALL,0.075,150
1480,13293085,21,132945,Absent,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,30,2,Unicorn_Absent,-1,-1,0,123,0.9875,15.0,0.11904761904761904,22.0,0.15,0.3125,RS,0.8,0.5,0.15,32,UP,0.075,150
1492,13293085,27,132945,Absent,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,0,Unicorn_Absent,-1,-1,1,189,1.0,64.0,0.234375,64.0,0.2857142857142857,1.0,ALL,0.9875,0.11904761904761904,0.15,2,RS,0.075,150
1500,13293085,31,132945,Absent,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,0,Unicorn_Absent,-1,-1,1,317,1.0,64.0,1.0,64.0,0.2857142857142857,1.0,ALL,1.0,0.234375,0.2857142857142857,0,ALL,0.075,150
1504,13293085,33,132945,Absent,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,0,Unicorn_Absent,-1,-1,1,381,1.0,64.0,1.0,64.0,0.40384615384615385,1.0,ALL,1.0,1.0,0.2857142857142857,0,ALL,0.075,150
1506,13293085,34,132945,Absent,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,32,0,Unicorn_Absent,-1,-1,1,413,1.0,64.0,1.0,64.0,0.40384615384615385,1.0,ALL,1.0,1.0,0.40384615384615385,0,ALL,0.075,150
1508,13293085,35,132945,Absent,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-6,38,Unicorn_Absent,-1,-1,1,407,0.7625,64.0,1.0,64.0,0.7173913043478262,0.40625,ALL,1.0,1.0,0.40384615384615385,0,ALL,0.075,150
1522,13293085,42,132945,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1,2,333,1.0,0.0,0.0,32.0,0.7173913043478262,0.5,NOTHING,0.7625,1.0,0.7173913043478262,38,ALL,0.075,150
1536,13293085,49,132945,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,4,Unicorn_Absent,-1,-1,4,449,0.975,32.0,0.0,40.0,0.6976744186046512,0.5625,UP,1.0,0.0,0.7173913043478262,0,NOTHING,0.075,150
1538,13293085,50,132945,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,4,Unicorn_Absent,-1,-1,4,477,0.975,32.0,1.0,40.0,0.6976744186046512,0.5625,UP,0.975,0.0,0.6976744186046512,4,UP,0.075,150
1540,13293085,51,132945,Absent,32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,4,Unicorn_Absent,-1,-1,4,505,0.975,32.0,1.0,40.0,0.53125,0.5625,UP,0.975,1.0,0.6976744186046512,4,UP,0.075,150
1546,13293085,54,132945,Absent,59,0,0,1,1,1,1,0,1,1,0,0,1,0,1,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0,0,1,1,0,0,1,0,0,0,1,1,1,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,1,27,5,Unicorn_Absent,-1,-1,0,577,0.96875,36.0,0.4166666666666667,43.0,0.53125,0.59375,RS,0.975,1.0,0.53125,4,UP,0.075,150
1552,13293085,57,132945,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,29,3,Unicorn_Absent,-1,-1,6,574,0.98125,32.0,0.3076923076923077,37.0,0.19565217391304346,0.53125,RIGHT,0.96875,0.4166666666666667,0.53125,5,RS,0.075,150
1554,13293085,58,132945,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,25,7,Unicorn_Absent,-1,-1,6,599,0.95625,32.0,1.0,32.0,0.19565217391304346,0.390625,RIGHT,0.98125,0.3076923076923077,0.19565217391304346,3,RIGHT,0.075,150
1558,13293085,60,132945,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,32,0,Unicorn_Absent,-1,-1,6,663,1.0,32.0,1.0,64.0,0.010939510939510927,1.0,RIGHT,0.95625,1.0,0.19565217391304346,7,RIGHT,0.075,150
1441,13293085,1,308594,Absent,18,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,24,8,Unicorn_Absent,-1,-1,9,24,0.95,17.0,1.0,42.0,0.010939510939510927,0.53125,,,,,,,0.075,150
1443,13293085,2,308594,Absent,18,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,25,7,Unicorn_Absent,-1,-1,9,49,0.95625,17.0,1.0,42.0,0.234375,0.546875,,0.95,1.0,0.010939510939510927,8,,0.075,150
1445,13293085,3,308594,Absent,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,13,19,Unicorn_Absent,-1,-1,1,62,0.88125,64.0,0.265625,64.0,0.234375,0.703125,ALL,0.95625,1.0,0.234375,7,,0.075,150
1449,13293085,5,308594,Absent,28,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,20,12,Unicorn_Absent,-1,-1,8,112,0.925,28.0,0.4375,36.0,0.0,0.375,OUT,0.88125,0.265625,0.234375,19,ALL,0.075,150
1453,13293085,7,308594,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,28,4,Unicorn_Absent,-1,-1,3,157,0.975,32.0,0.30434782608695654,38.0,0.0,0.53125,DOWN,0.925,0.4375,0.0,12,OUT,0.075,150
1457,13293085,9,308594,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,18,14,Unicorn_Absent,-1,-1,5,108,0.9125,32.0,0.3333333333333333,46.0,0.0,0.5,LEFT,0.975,0.30434782608695654,0.0,4,DOWN,0.075,150
1459,13293085,10,308594,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1,9,140,1.0,0.0,0.0,18.0,0.0,0.28125,,0.9125,0.3333333333333333,0.0,14,LEFT,0.075,150
1465,13293085,13,308594,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,14,18,Unicorn_Absent,-1,-1,5,25,0.8875,32.0,0.0,50.0,0.0,0.5,LEFT,1.0,0.0,0.0,0,,0.075,150
1467,13293085,14,308594,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1,2,57,1.0,0.0,0.0,37.0,0.0,0.578125,NOTHING,0.8875,0.0,0.0,18,LEFT,0.075,150
1469,13293085,15,308594,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1,2,89,1.0,0.0,1.0,22.0,1.0,0.34375,NOTHING,1.0,0.0,0.0,0,NOTHING,0.075,150
