index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Distancias,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Distancias_LAG1,Delta,Eta
5083,85797165,22,716594,Absent,39,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,11,21,Unicorn_Absent,-1,-1.0,9,95,0.86875,27.0,1.0,52.0,0.8918918918918919,0.484375,,0.86875,1.0,0.2222222222222222,21,,10,1
5085,85797165,23,716594,Absent,39,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,11,21,Unicorn_Absent,-1,-1.0,9,106,0.86875,27.0,1.0,52.0,0.8918918918918919,0.484375,,0.86875,1.0,0.8918918918918919,21,,10,1
5087,85797165,24,716594,Absent,39,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,11,21,Unicorn_Absent,-1,-1.0,9,117,0.86875,27.0,1.0,52.0,0.4074074074074074,0.484375,,0.86875,1.0,0.8918918918918919,21,,10,1
5091,85797165,26,716594,Absent,39,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,11,21,Unicorn_Absent,-1,-1.0,9,153,0.86875,27.0,1.0,52.0,0.4074074074074074,0.484375,,0.86875,1.0,0.4074074074074074,21,,10,1
5099,85797165,30,716594,Absent,13,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,31,1,Unicorn_Absent,-1,-1.0,9,153,0.99375,11.0,0.1875,13.0,0.0,0.1875,,0.86875,1.0,0.4074074074074074,21,,10,1
5105,85797165,33,716594,Absent,55,0,1,1,0,1,0,1,0,1,1,0,1,0,1,1,1,1,1,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0,20,12,Unicorn_Absent,-1,-1.0,9,229,0.925,34.0,0.15384615384615385,38.0,0.0,0.40625,,0.99375,0.1875,0.0,1,,10,1
5109,85797165,35,716594,Absent,55,0,1,1,0,1,0,1,0,1,1,0,1,0,1,1,1,1,1,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0,20,12,Unicorn_Absent,-1,-1.0,9,173,0.925,34.0,1.0,38.0,0.0,0.40625,,0.925,0.15384615384615385,0.0,12,,10,1
5111,85797165,36,716594,Absent,55,0,1,1,0,1,0,1,0,1,1,0,1,0,1,1,1,1,1,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0,20,12,Unicorn_Absent,-1,-1.0,9,193,0.925,34.0,1.0,38.0,0.0,0.40625,,0.925,1.0,0.0,12,,10,1
5113,85797165,37,716594,Absent,55,0,1,1,0,1,0,1,0,1,1,0,1,0,1,1,1,1,1,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0,20,12,Unicorn_Absent,-1,-1.0,9,213,0.925,34.0,1.0,38.0,0.0,0.40625,,0.925,1.0,0.0,12,,10,1
5115,85797165,38,716594,Absent,55,0,1,1,0,1,0,1,0,1,1,0,1,0,1,1,1,1,1,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0,1,1,1,1,0,1,0,1,1,1,0,0,0,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0,20,12,Unicorn_Absent,-1,-1.0,9,233,0.925,34.0,1.0,38.0,0.0,0.40625,,0.925,1.0,0.0,12,,10,1
