index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Distancias,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,Distancias_LAG1,Delta,Eta
6,10254120,4,102537,Absent,29,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,0,1,0,19,13,Unicorn_Absent,-1,-1.0,0,103,0.91875,22.0,1.0,41.0,0.0,0.4375,RS,,,,,,0,1
10,10254120,6,102537,Absent,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,32,Unicorn_Absent,-1,-1.0,1,135,0.8,64.0,0.34375,64.0,0.0,0.5,ALL,0.91875,1.0,0.0,13,RS,0,1
18,10254120,10,102537,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,16,16,Unicorn_Absent,-1,-1.0,5,137,0.9,32.0,0.5,48.0,0.65625,0.5,LEFT,0.8,0.34375,0.0,32,ALL,0,1
20,10254120,11,102537,Absent,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,32,Unicorn_Absent,-1,-1.0,1,137,0.8,64.0,0.5,64.0,0.65625,0.5,ALL,0.9,0.5,0.65625,16,LEFT,0,1
24,10254120,13,102537,Absent,59,1,1,1,1,1,0,1,0,1,1,0,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,13,19,Unicorn_Absent,-1,-1.0,0,179,0.88125,40.0,0.625,49.0,0.5,0.46875,RS,0.8,0.5,0.65625,32,ALL,0,1
28,10254120,15,102537,Absent,36,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,17,15,Unicorn_Absent,-1,-1.0,7,226,0.90625,36.0,0.38181818181818183,50.0,0.5,0.546875,IN,0.88125,0.625,0.5,19,RS,0,1
34,10254120,18,102537,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16,16,Unicorn_Absent,-1,-1.0,3,114,0.9,32.0,0.36,48.0,0.16666666666666669,0.5,DOWN,0.90625,0.38181818181818183,0.5,15,IN,0,1
36,10254120,19,102537,Absent,28,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,32,0,Unicorn_Absent,-1,-1.0,8,146,1.0,28.0,0.30434782608695654,64.0,0.16666666666666669,1.0,OUT,0.9,0.36,0.16666666666666669,16,DOWN,0,1
38,10254120,20,102537,Absent,28,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,32,0,Unicorn_Absent,-1,-1.0,8,178,1.0,28.0,1.0,64.0,0.32065217391304346,1.0,OUT,1.0,0.30434782608695654,0.16666666666666669,0,OUT,0,1
44,10254120,23,102537,Absent,27,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,0,0,1,0,1,1,0,0,0,29,3,Unicorn_Absent,-1,-1.0,0,243,0.98125,22.0,0.16279069767441862,32.0,0.32065217391304346,0.453125,RS,1.0,1.0,0.32065217391304346,0,OUT,0,1
48,10254120,25,102537,Absent,32,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,16,16,Unicorn_Absent,-1,-1.0,5,285,0.9,32.0,0.2558139534883721,48.0,0.0562367864693446,0.5,LEFT,0.98125,0.16279069767441862,0.32065217391304346,3,RS,0,1
66,10254120,34,102537,Absent,17,1,1,0,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,22,10,Unicorn_Absent,-1,-1.0,0,434,0.9375,16.0,0.2,34.0,0.0562367864693446,0.375,RS,0.9,0.2558139534883721,0.0562367864693446,16,LEFT,0,1
70,10254120,36,102537,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,402,1.0,0.0,0.0,32.0,0.03391304347826085,0.5,NOTHING,0.9375,0.2,0.0562367864693446,10,RS,0,1
74,10254120,38,102537,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,466,1.0,0.0,1.0,32.0,0.03391304347826085,0.5,NOTHING,1.0,0.0,0.03391304347826085,0,NOTHING,0,1
76,10254120,39,102537,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,498,1.0,0.0,1.0,32.0,0.055652173913043446,0.5,NOTHING,1.0,1.0,0.03391304347826085,0,NOTHING,0,1
80,10254120,41,102537,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,18,14,Unicorn_Absent,-1,-1.0,6,452,0.9125,32.0,0.0,41.0,0.055652173913043446,0.421875,RIGHT,1.0,1.0,0.055652173913043446,0,NOTHING,0,1
82,10254120,42,102537,Absent,61,1,0,1,0,1,0,0,0,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,16,16,Unicorn_Absent,-1,-1.0,0,468,0.9,37.0,0.35294117647058826,53.0,0.0,0.578125,RS,0.9125,0.0,0.055652173913043446,14,RIGHT,0,1
88,10254120,45,102537,Absent,36,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,-4,36,Unicorn_Absent,-1,-1.0,7,432,0.775,36.0,0.43137254901960786,64.0,0.0,0.4375,IN,0.9,0.35294117647058826,0.0,16,RS,0,1
90,10254120,46,102537,Absent,54,1,1,1,1,1,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,1,1,0,1,1,0,0,1,0,1,0,1,1,1,0,1,0,0,1,1,1,0,1,1,0,0,1,1,0,0,0,18,14,Unicorn_Absent,-1,-1.0,0,450,0.9125,34.0,0.4,48.0,0.06220930232558139,0.53125,RS,0.775,0.43137254901960786,0.0,36,IN,0,1
92,10254120,47,102537,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,32,Unicorn_Absent,-1,-1.0,6,450,0.8,32.0,0.32,32.0,0.06220930232558139,0.0,RIGHT,0.9125,0.4,0.06220930232558139,14,RS,0,1
94,10254120,48,102537,Absent,36,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,7,482,1.0,36.0,0.36,36.0,0.039597737272155875,0.5625,IN,0.8,0.32,0.06220930232558139,32,RIGHT,0,1
104,10254120,53,102537,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,18,Unicorn_Absent,-1,-1.0,3,528,0.8875,32.0,0.36,50.0,0.039597737272155875,0.5,DOWN,1.0,0.36,0.039597737272155875,0,IN,0,1
112,10254120,57,102537,Absent,32,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,18,14,Unicorn_Absent,-1,-1.0,6,619,0.9125,32.0,0.3333333333333333,46.0,0.10434782608695653,0.5,RIGHT,0.8875,0.36,0.039597737272155875,18,DOWN,0,1
7,10254120,4,412088,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19,13,Unicorn_Absent,-1,-1.0,3,103,0.91875,32.0,1.0,41.0,0.10434782608695653,0.4375,DOWN,,,,,,0,1
11,10254120,6,412088,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,32,Unicorn_Absent,-1,-1.0,3,135,0.8,32.0,1.0,64.0,0.30434782608695654,0.5,DOWN,0.91875,1.0,0.10434782608695653,13,DOWN,0,1
