"par","value","feval","restarts","convergence","message"
0.0999999999998561,5023.82639177931,525,1,0,"Successful convergence"
0.0999999999999922,5023.82639177931,525,1,0,"Successful convergence"
0.0999999997582629,5023.82639177931,525,1,0,"Successful convergence"
0.0999999999984974,5023.82639177931,525,1,0,"Successful convergence"
1.4498578603773,5023.82639177931,525,1,0,"Successful convergence"
499.00000001193,5023.82639177931,525,1,0,"Successful convergence"
1.68890776919284e-07,5023.82639177931,525,1,0,"Successful convergence"
499.999999684707,5023.82639177931,525,1,0,"Successful convergence"
499.999999810099,5023.82639177931,525,1,0,"Successful convergence"
0.763629869268543,5023.82639177931,525,1,0,"Successful convergence"
