index,Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Category,Ac_Score,Norm_Score,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Norm_Score_LAG1,Consistency_LAG1,Dif_consist_LAG1,Joint_LAG1,RegionGo
0,1395796662,2,139570,Absent,6,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,28,4,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,RS,58,0.975,6,1.0,34.0,0.7083333333333333,0.46875,,,,,RS
0,1395796662,3,139570,Absent,6,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-67,3,Unicorn_Present,2,2.0,0,Unicorn_Present,RS,-9,0.38125,6,1.0,41.0,0.6274509803921569,0.59375,0.975,1.0,0.7083333333333333,4.0,NOTHING
0,1395796662,4,139570,Present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Present,6,2.0,2,Unicorn_Present,NOTHING,23,1.0,0,0.0,20.0,0.2608695652173913,0.3125,0.38125,1.0,0.6274509803921569,3.0,NOTHING
0,1395796662,5,139570,Present,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Present,4,2.0,2,Unicorn_Absent,NOTHING,55,1.0,0,1.0,18.0,0.9142857142857143,0.28125,1.0,0.0,0.2608695652173913,0.0,NOTHING
0,1395796662,6,139570,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Absent,-1,-1.0,2,Unicorn_Present,NOTHING,87,1.0,0,1.0,26.0,0.3076923076923077,0.40625,1.0,1.0,0.9142857142857143,0.0,NOTHING
0,1395796662,7,139570,Absent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-64,0,Unicorn_Present,3,2.0,2,Unicorn_Absent,NOTHING,23,0.4,0,1.0,26.0,0.0,0.40625,1.0,1.0,0.3076923076923077,0.0,RS
0,1395796662,8,139570,Absent,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,2,Unicorn_Absent,-1,-1.0,0,Unicorn_Present,RS,53,0.9875,3,0.0,34.0,0.37209302325581395,0.5,0.4,1.0,0.0,0.0,RS
0,1395796662,9,139570,Absent,21,1,1,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,-72,8,Unicorn_Present,3,3.0,0,Unicorn_Present,RS,-19,0.35,19,0.1,39.0,0.2863636363636364,0.484375,0.9875,0.0,0.37209302325581395,2.0,DOWN
0,1395796662,10,139570,Absent,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,-64,0,Unicorn_Present,3,2.0,3,Unicorn_Present,DOWN,-83,0.4,32,0.18604651162790697,32.0,0.18604651162790697,0.5,0.35,0.1,0.2863636363636364,8.0,ALL
0,1395796662,11,139570,Present,29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Present,4,7.0,1,Unicorn_Present,ALL,-51,1.0,29,0.0,58.0,0.0,0.90625,0.4,0.18604651162790697,0.18604651162790697,0.0,ALL
0,1395796662,12,139570,Present,30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Present,5,7.0,1,Unicorn_Absent,ALL,-19,1.0,30,0.9666666666666667,60.0,0.0,0.9375,1.0,0.0,0.0,0.0,ALL
0,1395796662,13,139570,Absent,64,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,32,Unicorn_Absent,-1,-1.0,1,Unicorn_Present,ALL,-19,0.8,64,0.46875,64.0,0.46875,0.5,1.0,0.9666666666666667,0.0,0.0,RS
0,1395796662,14,139570,Present,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Present,1,0.0,0,Unicorn_Present,RS,13,1.0,2,0.03125,4.0,0.03125,0.0625,0.8,0.46875,0.46875,32.0,RS
0,1395796662,15,139570,Present,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,Unicorn_Present,3,4.0,0,Unicorn_Absent,RS,45,1.0,2,0.0,3.0,0.5,0.046875,1.0,0.03125,0.03125,0.0,RS
0,1395796662,16,139570,Absent,55,1,1,1,1,0,1,0,1,0,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,1,1,0,1,0,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,11,21,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,RS,56,0.86875,39,0.05128205128205128,50.0,0.02003205128205128,0.453125,1.0,0.0,0.5,0.0,RS
0,1395796662,17,139570,Absent,42,0,1,1,1,1,0,1,1,0,1,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,20,12,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,RS,76,0.925,29,0.3076923076923077,49.0,0.027692307692307683,0.578125,0.86875,0.05128205128205128,0.02003205128205128,21.0,RS
0,1395796662,18,139570,Absent,42,0,1,1,1,1,0,1,1,0,1,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,1,30,2,Unicorn_Absent,-1,-1.0,0,Unicorn_Absent,RS,106,0.9875,29,1.0,33.0,0.9444444444444444,0.484375,0.925,0.3076923076923077,0.027692307692307683,12.0,RS
