Dyad,Round,Player,Answer,Time,a11,a12,a13,a14,a15,a16,a17,a18,a21,a22,a23,a24,a25,a26,a27,a28,a31,a32,a33,a34,a35,a36,a37,a38,a41,a42,a43,a44,a45,a46,a47,a48,a51,a52,a53,a54,a55,a56,a57,a58,a61,a62,a63,a64,a65,a66,a67,a68,a71,a72,a73,a74,a75,a76,a77,a78,a81,a82,a83,a84,a85,a86,a87,a88,Score,Joint,Is_there,where_x,where_y,Strategy,Is_there_LEAD,Ac_Score,Norm_Score,Joint_LAG1,Category,Size_visited,Consistency,Total_visited_dyad,Dif_consist,DLIndex,Score_LAG1,Norm_Score_LAG1,Consistency_LEAD1,Dif_consist_LAG1,Category_LAG1,RegionGo,RegionGo2
2591415098,14,150980,Absent,49,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,11,8,Unicorn_Absent,-1,-1.0,9,Unicorn_Present,-127,0.86875,12.0,RS,25,0.17307692307692307,42,0.05769230769230771,0.53125,20.0,0.925,0.17307692307692307,0.07294832826747719,IN,IN,OUT
2591415098,15,150980,Absent,36,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,-100,36,Unicorn_Present,0,4.0,7,Unicorn_Present,-227,0.175,21.0,IN,36,0.17307692307692307,36,0.21328671328671328,0.0,11.0,0.86875,0.0,0.05769230769230771,RS,OUT,RS
2591415098,16,150980,Absent,28,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,-92,28,Unicorn_Present,3,4.0,8,Unicorn_Absent,-319,0.225,36.0,OUT,28,0.0,28,0.0,0.0,-100.0,0.175,0.23809523809523808,0.21328671328671328,IN,RS,OUT
2591415098,17,150980,Absent,51,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,1,0,8,14,Unicorn_Absent,-1,-1.0,9,Unicorn_Absent,-311,0.85,28.0,RS,24,0.23809523809523808,46,0.23809523809523808,0.5,-92.0,0.225,0.23809523809523808,0.0,OUT,OUT,RS
2591415098,18,150980,Absent,28,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,4,28,Unicorn_Absent,-1,-1.0,8,Unicorn_Present,-307,0.825,24.0,OUT,28,0.23809523809523808,28,0.23809523809523808,0.0,8.0,0.85,0.20454545454545456,0.23809523809523808,RS,RS,RS
2591415098,19,150980,Present,7,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,32,6,Unicorn_Present,3,6.0,9,Unicorn_Absent,-275,1.0,28.0,RS,25,0.20454545454545456,38,0.02954545454545457,0.5,4.0,0.825,0.2,0.23809523809523808,OUT,RS,OUT
2591415098,20,150980,Absent,56,1,0,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0,1,1,0,0,1,1,1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,19,13,Unicorn_Absent,-1,-1.0,9,Unicorn_Present,-256,0.91875,0.0,RS,29,0.2,46,0.033333333333333354,0.515625,32.0,1.0,0.29545454545454547,0.02954545454545457,RS,OUT,IN
2591415098,21,150980,Absent,28,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,-92,28,Unicorn_Present,3,4.0,8,Unicorn_Absent,-348,0.225,13.0,OUT,28,0.29545454545454547,28,0.08712121212121213,0.0,19.0,0.91875,0.0,0.033333333333333354,RS,IN,IN
2591415098,22,150980,Absent,36,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,14,12,Unicorn_Absent,-1,-1.0,7,Unicorn_Absent,-334,0.8875,28.0,IN,36,0.0,51,0.375,0.609375,-92.0,0.225,1.0,0.08712121212121213,OUT,IN,OUT
2591415098,23,150980,Absent,36,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,-4,36,Unicorn_Absent,-1,-1.0,7,Unicorn_Present,-338,0.775,18.0,IN,36,1.0,36,0.7647058823529411,0.0,14.0,0.8875,0.0,0.375,IN,OUT,RS
2591415098,24,150980,Absent,28,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,-79,8,Unicorn_Present,2,2.0,8,Unicorn_Absent,-417,0.30625,36.0,OUT,28,0.0,43,0.3409090909090909,0.546875,-4.0,0.775,0.2391304347826087,0.7647058823529411,IN,RS,RS
2591415098,25,150980,Absent,56,1,1,0,1,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,1,9,18,Unicorn_Absent,-1,-1.0,9,Unicorn_Present,-408,0.85625,15.0,RS,29,0.2391304347826087,47,0.10177865612648218,0.453125,-79.0,0.30625,0.2,0.3409090909090909,OUT,RS,RS
